Time;Reserve 1;Reserve 2;LP;kLast;Sum reserves/LP
1619483080.2597783;24948423168948734878805113;25102968919987941681736900;24968921966759758039386355;626279302585763488158253867475537650208907958327870;2.004547579409649
1619508698.8863833;25279983466688966691748986;25276115219518878418823402;25218395691421986696083722;638979774851562608385777942443925970060703646570372;2.004730963254909
1619513525.8744013;25327612786035950689671935;25496023220079408000719777;25351468105283755668982161;645753403701952705632994444862990767494039996358495;2.004761057428571
1619518559.2615378;25385170644919983169865946;25558503171820439481362894;25411035025917873260911008;648806903373802950397107732285831049964509895351510;2.0047854707523975
1619530851.6760037;25482647462355807498529633;25611899804352592675818373;25484866682203907161952529;652658760683126455194966778018297612992455305293828;2.004897569363694
1619546391.9794066;25163215107687499669513743;25245785301976071155173198;25141309574176291531391661;635263804961109767133233157790966797841868200791000;2.005026836845476
1619551891.6933825;25659853920856360492393968;25742914296796046699315048;25636751876951688671049747;660559419980797431561812045028964207439623344843750;2.0050421544963832
1619591550.8154438;26025784244968712160941761;26202580519278608089371475;26045663383666386018124334;681942707256165295055695948434504755822490569667475;2.005261451585852
1619597272.2658236;26648241402010244884080181;26773701376119997134025743;26640123051935446719931487;713472057496179575214059559397056058910431840282515;2.0053189196605103
1619611091.150466;26941787098509216180422806;26953718093772227509685397;26875563571959722212427313;726180889751201208758227241061931257275138416922545;2.0053720937972304
1619623227.8667889;27170877068550218165811752;27301179757225463683973742;27162119793065670726883084;741796997874660636270721064996314895672356307224360;2.0054420362169996
1619635185.3521755;27782575239853598438367099;27852456547226325598820352;27741279651755064269239386;773812969638068361124138032794126832010811528398848;2.0054962310853655
1619645536.38592;28023209412431034166501287;28089422814910086133036507;27978958823502485199563092;787154822295548702796225709496453403890133089484600;2.0055296761152595
1619676049.8008327;28347286237993573441741210;28417304646885021383484494;28301960461203268555871837;805553429113074355537159384903204354768993293554020;2.0056769905636855
1619684792.2278903;28691466781214618995650280;28741607103582415875953626;28632473111124889246039000;824638846979890836669364101108380026343002947776059;2.0058719224809796
1619686035.5883381;28726655941346744640234365;28811098238109943800220973;28684563009664642230790783;827646506378525743573124310925253083182073508337145;2.005878707654378
1619696593.7203536;29402736395888405375672858;29497702023900978659024930;29362642943272237214072382;867313156893224382141860377220163354769552946349940;2.0059651487634578
1619701702.5833619;29738937810657179231842549;29943232361766259213446691;29751681827873613801314518;890479921961471464293403272836520033941424965515296;2.00600996332613
1619708492.9900403;29880864786848055252049786;29898855979202346298996585;29799758186976374565135493;893401121376819359614461813567270076403827317431340;2.006047176321599
1619713533.563828;29707911471487691124823108;29813509852085373031818036;29670260751730621185857705;885696511685232833855882130664147746360433129586764;2.006097008099306
1619729441.6924179;29826864463521768194069492;30022263522206850207676713;29832898864628356641304006;895469984588778596109129758622055685088599440938736;2.006145237755935
1619732994.1594598;29856569604610180778134124;30060707739165356323461091;29866775775427584108098909;897509612978234403976424002184182486410636693369284;2.0061515107724324
1619765383.3933737;30235532747786831523391831;30439742601097672903666681;30243277361229091142247041;920361686940576153762852541773328634928531033085416;2.006240085165778
1619775772.6617968;30488592858220870493502000;30553901863903988802083416;30425635059221427842980518;931545474158604496372004564224905373897689962832000;2.0062849831502216
1619780664.5687237;30452728560960976260466942;30585178455459337844544869;30423173523170362540042204;931402058541111064397904574020750700498205614356096;2.006296515054016
1619785469.8259904;30499418136442264401942407;30496109296043131334987447;30401772067347141856449168;930111989846636817069094466213261070712814295088000;2.0063148719543658
1619794432.9721942;30450969569467046776466138;30617763828925159305855416;30437880499679546880162370;932340571242913388369591836771129122130162569725010;2.006339876360154
1619802901.701363;30569825835566090119498314;30704747583398649390709749;30539671936856016356949233;938638785717300058189573937292798946570227362242875;2.0063926536492063
1619853887.757267;31090443454593095135893691;31240143151585123717685595;31063950250233255419612906;971269385332793836355198038309202583358176215216130;2.0065248013880717
1619873274.8057723;31308847953342403129902283;31485788331315792730573152;31294390948204358305069718;985783648250254611402118592137873257775558308715836;2.006577996312189
1619878939.4819477;31322858745236669579533120;31430198201977544992582905;31273547786976928872092857;984483658221837304160487031253086477287422057117070;2.0065858013508184
1619881051.2846196;31323612506873404377479751;31465916497340019282703937;31291633060470967345163458;985626175536314012948175277112929512561828745479687;2.006591630512632
1619885803.8653626;31579996099453268341691434;31902143423877149510223274;31635871077448854414975177;1007469564425476512715738752368621841267673352186910;2.006650595076634
1619891754.8201685;31586833238272103468424284;31804723706530234369232554;31590774810381363521573001;1004610094078296912050973998704810589309405863022184;2.006647742111428
1619893434.1345024;31596685159855001155591810;31796317547208343656280844;31591514520223372779289705;1004658137008348636570027344100020987440501303374388;2.0066465210612865
1619895753.2532709;31605893664655709465794338;31790154760140187188263660;31593009587369542420847363;1004754706883145549737232988411552087380182249708640;2.006647965888656
1619898542.7867818;31553621696575160244354770;31808782771770856711643904;31576044552991932759649435;1003682298208995067948673829202840476301342483822080;2.0066605987336126
