Time;Reserve 1;Reserve 2;LP;kLast;Sum reserves/LP
1619722806.6498036;2859584182111865880794;260568296610027463464383;27073646634700364073867;745112631041933091410578544300128200020355765;9.730047981586017
1619723119.5432348;2859696246112676544469;260558502296480719313358;27073692482956109773529;745118170909987123702575018645980689832716902;9.729673878375655
1619729450.7845726;2821133023964346976517;257042736985471413396068;26708137883339695672231;725151638361853940957478639424667970838884256;9.729763682684018
1619733002.521017;2824117901811346394500;256126547903610525722219;26674406456867722662569;723330490324097509604042441897753311618966072;9.707832345740956
1619765391.9063675;2876300943968398097673;253876377014901785438602;26798577601249017658333;730222850664817567228691230832135231497820271;9.580832303088487
1619775781.1023662;2876758876631863252461;253530972398624766666230;26781953304348506636923;729347424994784464531606281468124823266347962;9.573899571904057
1619780675.7632456;2928161572275259673608;261019367191310971769240;27415957341530081683922;764306860448570838066702513766431199945878570;9.627514570273815
1619785478.3033466;2912080906497714001266;261948126705050770840748;27388660684715446466543;762814018001946689610098353688840711000398344;9.67043298175426
1619794442.0795712;2886877807711917073060;267296543459500749686083;27545681912541801789945;771642317432801525639312518045610046774030731;9.808558093607974
1619802913.0407524;2892534166823745088544;267962821117241566073424;27606121252810122948746;775091242068494416055015345308957660358927898;9.811423807192545
1619853897.229294;2890707102274856766499;267463487263267579591848;27567339329396895307039;773157948677684971461389115184795093621291238;9.80704706882052
1619873283.2139764;2885354769827867642414;266331596946840992853686;27482375983042004804164;768460908663589877313018729157612637437414459;9.79598532102134
1619878947.880975;2865888604558567818652;266036355220494443855576;27374199084192027722482;762430076484355116406380309283429346141563536;9.823200415764415
1619881059.9176564;2863568628470642654138;266201384343550576673691;27371570354785500793917;762285786657090971595143724058056823842144769;9.830088280812845
1619885815.4748425;2847914180665297688030;263360354542074880923479;27150071108726139523823;750027491195967858937282115540818313722030708;9.805067090125586
1619891764.5769155;2835823888381736960668;263115568162143477111907;27075434777763440991123;746149344305332656909563714812053644161668012;9.822608361914329
1619893444.4702628;2841513831937400307979;262712534892163258878457;27081268882185871806762;746500833186294331321473582456222542324063309;9.805820025618623
1619895762.9641778;2850307129904064453142;263278962357025507752477;27152275945619442311362;750425674722658235531999514753297483178883512;9.801361404102297
1619898552.1016588;2835791780675388615134;263974219785142570784787;27118661281997186739874;748575913216491538861820504141009452748771244;9.838612931197332
1619904408.0120234;2838172375446501450495;263680123075158477749675;27113955722061893923210;748369641266248397715938130445351071014839125;9.829561506355423
1619933507.0096977;2821842847256592661369;263273062164559726281859;27013687276273045796984;742915191500081636721089056885087785460632972;9.85037334187013
1619944446.5570176;2870107925474764758880;267645216781917235641889;27468559488829126559044;768170289681954957984881079859864486349124526;9.848180237387577
1619949173.9169302;2870230620160398404518;267236365639866286121870;27448034008431213530352;767028430218689307017555794594945261630751745;9.840653657637484
1619957531.4835277;2871363929733866526429;264654738660818523843179;27320264060017862985089;759919873742895816188719271054118275077055944;9.792222432508124
1619962619.5815728;2882713051604631497650;262626324656832007203002;27268883643996738908761;757076327213172302599778647741914308935876032;9.736703606012439
1619973182.0457861;2889492718276876815059;262449601187386658184350;27290802123235953176357;758346159122913773829118711560235655750883492;9.722656472590387
1619978069.943121;2888297695170531369399;262647378918645598346098;27295147934558062354774;758603819173305291420985343344433821488255102;9.728310586572222
1619991570.0246935;2886101354572497311058;262785957243463297621744;27291412196214260700212;758426624202133058312710280335425606265687150;9.73463947882069
1620015938.0410986;2861277112371226256739;265645034637379591033602;27319961612308274831055;760084042100110470416483965933529172743190920;9.828209701026173
1620047725.9379816;3781405510148527607830;334452117470974863544522;35237554102618757918376;1264696470117506212437535188644438159971158216;9.59866629778333
1620049528.5364866;3763990824038320703465;336001284738715232253664;35237469483071485789668;1264705462941824832568939942358878178759484268;9.642158774368886
