Time;Reserve 1;Reserve 2;LP;kLast;Sum reserves/LP
1619508811.2174747;132271064802460317964305872;132293578313511631272066335;132046385069503689794503394;17498596918217513640627170923784415994861141946476710;2.0035735395309473
1619513528.1102011;132228869970460137562111332;132292436516312718916003015;132023569726205271140651725;17492855827249428024034948787356799960247281140235570;2.0035915332038488
1619518561.2126408;132175376767618084020240014;132256836600447865388511734;131978231137710267589907608;17481088796173605674049461785050470928684871303060912;2.003604769427081
1619530853.4855685;134710683091855907651975602;134862964252736031222741158;134540971877916362380995236;18167482038278615374795794212118176197857768577227116;2.0036546754635114
1619546393.6241896;136187151971018149834882849;136367377502702999239319302;136024169085080792323021963;18571483769069480067458538674470727177530811415939579;2.003721333546562
1619551893.3505492;137380713427723172618612283;137513715902704658212476681;137191096227460480288738403;18891732396810807418130705459855463464907030717672723;2.0037337472299046
1619591552.4461627;143583924389788930246881257;143934065952811408652192379;143484183968837511678629272;20666609087466774101036019975934072816628162101423401;2.0038305434767967
1619597274.0308864;147786505671000763570271237;147927533000252870513981833;147573423452639822820975521;21861692727382905284230554654351475610855958635379066;2.003843454686514
1619611092.8222692;148408710740794050364791423;148313517663233883431534489;148074200993870654243155096;22011017765444629580750124106000283327170822483844376;2.0038752626212744
1619623230.168496;148692957518046262137936731;149012631529587399665710496;148561680393468673321585993;22157126521984721899861186965764793977582210824978938;2.003919101205333
1619635187.0618834;149332400869428360983418718;149525042546182960550236957;149134644690211477843981696;22328894754755247683196664121764739529187076913749312;2.0039437787001813
1619645538.1239848;149525426877652186572177628;149585539790773957405231669;149259353168039872615598410;22366839922884802697350157356623638721904563603177996;2.0039679947673337
1619676051.4466221;150925345481213329313638581;150905106280400873769564115;150611055007149214392192827;22775404163666758651060983331299964610802698247192465;2.0040391573333505
1619684793.9237206;151774208703817327467807116;151540039334439672001559773;151346146876252879984902950;22999783285543931480180966280161830086567229045138128;2.004109482128143
1619686037.3152332;151821676005543968985553418;151569391328013678410515699;151384384301440815321457266;23011518818682081027121296879023596375314734807917375;2.0041107194348187
1619696595.366933;151283306518224960442213043;151595553407175834679040135;151126665486524030216243055;22933876553870003713065720177584038519367585093952648;2.004139103779859
1619701704.4308264;154117000575771572470191656;154224758219661285622178897;153851720779595263560144302;23768646716658064714454580072875133162191450707748334;2.0041489119069182
1619708494.6469467;155977278188950781855404089;155874704190103800180012431;155598080990730206913188648;24312871039740952537612163808842964647956293680471421;2.004214836027658
1619713535.2256799;158491902195232669032294842;158352955616492270346268947;158087676834399647030180272;25097661153895112669638674053006465179683583932871374;2.004235017911149
1619729443.600301;162795319236575028481141576;162928083386385215380821121;162514476845376859156658009;26523929347489897362316372837821185834994102332026696;2.0042731512028142
1619732995.8329215;162911709214881495375040459;163293486523248053455661473;162753887571835643717328676;26602400393055176070580943376559645008950940704893890;2.0042851240290678
1619765385.114436;175953572490239576296819850;175891217186713573327254667;175533743125068459995047091;30948688033658879955760763335396506022060923170739950;2.0044282279462498
1619775774.3062313;181946899022461397358266523;182138088037985677015080287;181637857844726062631190682;33139460312391560343524721584706554791042691963009922;2.004455411336588
1619780666.344594;182552260550789464016413614;182760551094212031305105300;182249393334066356281637757;33363348671802824551490598828099085039193367665402574;2.004466544233575
1619785471.5317326;187361772875110465439054585;187772289153174778203147480;187147838270895489273882511;35181347120957871484165077620674329017838380819215000;2.004479803209272
1619794434.8520563;188593326528122453628644457;188492165318342744057426189;188119453892381153956177823;35548361923667144879033311396705426398594252245655800;2.0045002472853617
1619802903.923069;190138975365143859059641461;190239056498051537398297984;189758402642276100693792494;36171858667111835240947831602186574292487616252213057;2.0045385425185454
1619853889.448331;194786350826791685080878955;195187952727186074974623976;194535930958265631597079308;38019948507342470530361657364046156525621197305490440;2.0046389457875526
1619873276.480338;196522069281550559885412061;197121705519831007871586562;196363081084279610526790617;38738764795217753171063937831549651367198186057471573;2.0046730405112583
1619878941.1719604;197475148708967797557855313;197564963599936582102722340;197059037723441581949683880;39014169462317157213690063111710302655485684788087936;2.004678987945304
1619881052.9496799;197054705357766970601082759;197199757525642754084722871;196666497771557062169082784;38859139861427217156588280383230251525534603878276280;2.004685431177841
1619885806.102865;195558770835337672184132322;195592800975731433913527148;195117173170074928896537503;38249887743054874129507436537180871694006756971277656;2.004700895651659
1619891757.1372972;196500760114911062828042969;196495425541832677157696258;196036060334154517801395644;38611500473181201201947597267809698424492918748802605;2.0047137500460863
1619893436.5160666;196372041044156066590244088;196367443119047031021713704;195907813785372115241774299;38561075313110550235117100528721990724887465916458084;2.0047157720491486
