Time;Reserve 1;Reserve 2;LP;kLast;Sum reserves/LP
1619878952.9066215;1919852408871616852462888;791633087595338940133;38951527378412381907843;1519818690162387133905834923786573172636284104;49.3085681416351
1619881064.8886092;1921495655518296605462570;791633087595338940132;38968179391266956340602;1521119538578978913788460630283689785396859240;49.32966637483428
1619885822.9103372;1924740238383049574133550;791631577557826781030;39001000546437130254257;1523685144015927493118176850846077596468780456;49.371345426585755
1619891770.3530655;1921830490119575224702108;791631566493375623211;38971449538266830222582;1521378012144034580175130999243264883684712946;49.33411880916075
1619893450.921039;1927015496576982523265572;791631566493375623210;39023956017762349526367;1525486296212246786006352570403181909837126120;49.40060734144957
1619895769.380004;1927015496576982523265572;791631566493375623210;39023956017762349526367;1525486296212246786006352570403181909837126120;49.40060734144957
1619898557.8247757;1926169902102158636007726;792005198900305810217;39023956017762349526367;1525486296212246786006352570403181909837126120;49.378948316361694
1619904414.6750336;1942063251181330203902292;797031271432199183386;39308935911087452637538;1547885142290806015131464066508919472933720712;49.425410213273175
1619933513.1021523;1972314303459859775651061;818217923653166569630;40135364738817245694073;1613782914168367947327516554229127913239877430;49.16194319458076
1619944453.8885148;1991459406138666189035339;818233605428267927690;40329865502787816197492;1629478475032224262384503315662784789010245287;49.39956072024038
1619949181.6417592;1992469316176865616289599;818233605428267927691;40340082620969923413363;1630305301551533075952848015072778670432005436;49.41208396896357
1619957536.594519;1976339657326902543044244;818230408698460134908;40176249352269830163605;1617100827793014299319884572273675295444632446;49.21210714319449
1619962625.8354707;1991557979580248087933826;812986126319123457407;40200922099870274537714;1619107947772702324907598310304517463167326523;49.560330003301004
1619973188.8368068;1990631695131912088291234;814426890049097613172;40227110373157734928308;1621223980699446566755944376105893717410534248;49.50507514829575
1619978076.6890507;2004039340944426205463294;821468140653756839451;40535865489004082514855;1646254471202598064040483053971543834631611594;49.45893679336701
1619991576.6674263;2006141483060674113598373;821458374943592312043;40556834928191538955815;1647961109370535277970463656948797062660459536;49.48519639141155
1620015945.2328866;2009849418586346339059984;822847456867757392679;40628421405486185325642;1653799482770915892580313247012272611623457136;49.489303214023145
1620047730.997927;2001497466424813491150994;832832336618044527032;40787956061484598785625;1666911811697673543191867815869212804026669808;49.091214468876004
1620049535.9437792;1999310144756537333145282;838065200374900104633;40893218581054708002403;1675552142093850683550372415963925359329122412;48.911488979337875
1620050332.182115;1999310144756537333145282;838065200374900104633;40893218581054708002403;1675552142093850683550372415963925359329122412;48.911488979337875
1620059504.472951;2008819409277339568544315;837957162426901598854;40987533687119598641606;1683303369618200603688910770936979273771844000;49.03094149993476
1620062291.4683473;2007579621552862809568780;837957591569690129026;40974887679077936382454;1682266474350866131959435819625486510245390746;49.01581658684923
1620066585.7897458;2017484280254861546508238;840163576124288342207;41129636189884231180876;1695016807673460444920810876606909130488601266;49.07226590852728
1620070166.4599025;2017540094979000059782976;840163576124288342207;41130204637857026735454;1695063701171693048872572141991155979240868032;49.072944720954986
1620078692.5243595;1991621779819191643589049;843508149808017734956;40945998319175573331870;1679927739410569436581558510654770771971974480;48.66080617787504
1620105392.986037;1989997739309921452294925;840799820251594134374;40863280315105657387683;1673189741512860639931608126813574591128251950;48.71949886985047
1620112545.706969;1995699790236594517319418;841663086336071113873;40942713020448545907227;1679706844850781863038666571245729597392085914;48.76426856045842
1620121244.3068461;1996405295522873650223366;841763889932655165985;40952397350050731666372;1680501887441486124536864984443630249055405510;48.76996680660338
1620142417.3328736;1970989821322800916684872;852539939529641164952;40949748742102590718674;1680347543084078937893607464255357099955006144;48.15273406635034
1620145942.462248;1965852520061538349377897;852354364824837008865;40891753349030635824988;1675601805726843953550421963337481616759642363;48.09539120613387
1620191388.0974174;1937087865294094620242281;836085172111888173081;40200897808413768395418;1619570441250263153494672663394191302682237761;48.20598683397097
1620214719.2898026;1955359964066923845426710;836048517682679150676;40388863851039141070824;1634772231891928560247727717072635871112158476;48.43404409194038
1620219691.0523906;1955360602480188127010879;836048245400368730460;40388863851039141070824;1634772231891928560247727717072635871112158476;48.43405989186444
1620229652.3822207;1955685019900987692363260;836097030512490689446;40393404484692946856797;1635142437756977067839746780233407666480153960;48.436648059039506
1620321716.6497219;1944062900522426562694031;829902269717161432324;40122716261297748502289;1613352849652477246783442882611906315198669710;48.473607572480866
1620324352.4611342;1954080932628008051238914;829894769339055495509;40225809643157988375814;1621681508120803641625909496637916856139671512;48.59842088299292
1620362601.0198674;1975770440310820567321602;829097370707509673269;40428643048031964175444;1638106077183320013587105088777731849465656938;48.89106803147447
1620373864.4763494;1983918751306586044080099;829512575145735501711;40522003956023086784916;1645685552276238198459472381657528989235549389;48.979519029604255
1620411368.7244947;1989309072648254155331679;827774203847232780309;40534050198578406541423;1646698733817485539284817618493357755235108811;49.097902556056404
1620505376.66343;2010610621197644729011526;837505990233809746516;40987972248204004038555;1683887951427258341555845079939754453259410120;49.07410678936466
1620542554.2903512;2021932059293076910604655;837475614264986841983;41102402958400030941659;1693318768549867092879383864378218146056833470;49.21292647913063
1620545001.3782384;2021932059293076910604655;837475614264986841983;41102402958400030941659;1693318768549867092879383864378218146056833470;49.21292647913063
1620577163.427375;2031015414122872870028283;839726157157192246188;41249648367551532494399;1705496768828423435936835969165742987858935204;49.257514201705554
1620595266.9459655;2033552765689815375392574;839749022038301180657;41275925906386456451026;1707673430555697031234934240564702311510769943;49.28762880633722
1620627395.5115688;2027261473929423887720672;838794988251882655015;41188546194169009339779;1700456340050159746081793705677101940826116464;49.239423488192706
1620629176.8552115;2027261473929423887720672;838794988251882655015;41188546194169009339779;1700456340050159746081793705677101940826116464;49.239423488192706
1620635662.0716062;2022501335039730276412717;843050888945893900962;41244111071872371796190;1705065782688337670359960568910832963866918396;49.05777657330952
1620637374.0974777;1999393123668919777223219;842846201181922328405;41002636242113048879812;1685178311649707873905402230940113762971741196;48.78310648269236
1620638682.5082421;1991891415571188059332940;842578259899861189350;40919026941926385693674;1678314508864441235755236812594629562512835772;48.69944724392496
1620649413.3879561;1991857135890424015297205;842596712561722445438;40919036818200431004924;1678332272602022193020337567424015765388302746;48.69859819663815
1620655557.9468398;1989739960850528774505622;842596930233422270884;40897238606790820414414;1676546689070374512265047131534990216720815296;48.67278636876559
