Time;Reserve 1;Reserve 2;LP;kLast;Sum reserves/LP
1619878956.29009;1797055719315687236660899;2488255884032212927975;66774914049475023784231;4471534467520999646578560498721900318985749525;26.949401595131924
1619881068.2647011;1797120065618327919648337;2488255884032212927975;66776108509827842290282;4471694577587161043542644222180471467109527575;26.9498831492629
1619885827.3018737;1797039796326598127478838;2487920103552633069765;66770105408534628200757;4470891241888665258505298123686200155924663680;26.95109892997313
1619891773.9156828;1797104133113711324981007;2487843801940884494335;66770274482942214839495;4470914035889690047646112828999003201730234284;26.951993096499752
1619893454.4846148;1801561318369869328111721;2487843801940884494334;66852955558175652729707;4482003159722927943168909013253573944143488814;26.98533142041747
1619895773.635006;1800643512907025104311989;2487779569345653447762;66835038745731522211233;4479602002386514131791639235331430132817753606;26.97883215623226
1619898562.3314586;1806377086516337486139162;2487814837254120325003;66941749458582971797130;4493931717511214173219793001393509855126067486;27.021476372868637
1619904419.4192944;1806718976075184454895119;2487784675984744080788;66947660485869344345662;4494726112741663498379718022836311567844710904;27.024196926687807
1619933516.8196583;1787438324919247644819064;2477346274712745271932;66448787224828192445595;4428091379071287048753064690588677498707358756;26.93676959276646
1619944458.8828845;1810700316661885425367129;2479772772840520267173;66912033845118218855723;4490124569333975635424208596143499575721637912;27.09796706571059
1619949186.3380246;1818142587305265147239048;2480569403288893421073;67060028927221881286283;4510028872885946377088606024219585637251658504;27.149155552623135
1619957539.8891377;1822719666657161813956273;2480559318957064893556;67144166542221907933063;4521364254972737652794679808520942293983476788;27.183303032414408
1619962631.8659234;1820152258369598595224276;2485707827589811485584;67166317971469503475261;4524366716034584194495233218799241715220837184;27.13619000183094
1619973193.3219838;1821093933716290434850597;2487279449703657464320;67204910921098928453784;4529568054222102113432681277091794366972868075;27.134642218437673
1619978081.7464771;1814484381655152252029391;2488275533283724423706;67096149361209463212273;4514933080999270687203128157303075994959774000;27.080133129650044
1619991580.511048;1691405933777785997098280;2330723920110702760371;62696057910218632973436;3942200210651822204390210624194935482715287268;27.015042319300907
1620015950.6376054;1692742604115937132875735;2331298077530911847031;62728422639803899146006;3946287198172253941906072190991271264353560859;27.02242190795772
1620047735.1781604;1710066639106217465347025;2400629021255713090915;63975455015843346636740;4105230113696797192761972058941152449814603286;26.767566837990998
1620049540.925118;1708686266246671360927272;2402573245009297583685;63975455015843346636740;4105230113696797192761972058941152449814603286;26.746020627253596
1620050337.5069406;1704546786391129506830798;2410101328545919362844;63994565520075343404999;4107753938731191353232550839811642756923271039;26.6734663146388
1620059508.8938556;1731784626816615776869457;2487879350349932953017;65536338587086802105718;4308471190870785139794098377638982996722940921;26.462761630517523
1620062295.34289;1731993955788785116535581;2488804172067805546787;65552450163980229182861;4310593783163350746049297857953074584845728247;26.45946498753325
1620066590.911076;1731950059397131069287317;2488013106553548041108;65541163097125818698433;4309114447676258121862804926415721746979027236;26.463339839322213
1620070171.012391;1731967808602556037718385;2488015330840663130364;65541521098222669687816;4309161914373117605417755251304114950006467511;26.4634661336908
1620078695.8733642;1707301387301257014409769;2469145480646489053589;64824795727272493862574;4215575504556379813515752384269939296246110941;26.375255233740514
1620105397.4957285;1672925675332319151433091;2420616708664494028947;63532821637467885799363;4049511674973951226485691154110245007032288297;26.369776264634908
1620112549.0500772;1680623736952287770487763;2415751369307714901325;63614620582182223186027;4059968939241711297320517277303961098683906000;26.45680305751909
1620121247.778852;1681088175100509896840591;2417422687757359995845;63645401891417215294285;4063900694608590063199675113816588378387344395;26.451331090035797
1620142422.079634;1667889783370410045839497;2474857891703597795441;64141405753891322010564;4127726533825704623567428116754334671680735174;26.041908836099623
1620145947.41811;1667768108350840443094428;2488822842996165269529;64319538775332567268130;4150779364884075311837999015013210655418084412;25.968111136928787
1620191392.2906342;1647669828258381135320344;2417362162079881670477;63004173103112050292056;3983014698432467534173832519088860865242284088;26.190125338522314
1620214722.6679168;1674471391854435562325609;2436561284797576989086;63765073791941901938958;4079952165893630505861252272915618522171303374;26.29822022335912
1620219694.7381725;1674535962810676537412342;2436468212589991949251;63765073791941901938958;4079952165893630505861252272915618522171303374;26.29923140205302
1620229655.9275963;1655445149462385111153898;2446212616817629915788;63526687381758491675318;4049560597981241664523024824370802680907830408;26.09755726937623
1620321722.2806017;1705639531839350588891670;2537940464183738232586;65674741576511399162086;4328811585166495400039372956423853730417958620;26.00965654830174
1620324357.5963874;1710270902568577382842314;2546861577818274493191;65878967761956370563452;4355819219624423706007098510015697476967363708;25.999462686413093
1620362604.240554;1693865436799653269961482;2518112082275246837553;65190154075112368845954;4265343022153645417220251050629337290621133546;26.02208221393906
1620373869.1752388;1695081354786216500085489;2518762298863451067567;65221954099670146009288;4269507009941903775883918792149327823815235263;26.028047465288463
1620411372.5215378;1757979091974993660512006;2591841167861688368968;67370654805070279013088;4556402582820898040322817393719732357921829808;26.1326083030791
1620505382.0304217;1766128708107539451378706;2582867940975157424347;67409086347557721267216;4561674094536626663373917608234313433805819302;26.238474245580637
1620542559.3123612;1757900288531105582060795;2574922784066813280232;67147655786911508287965;4526457463268368738249057724831160863583023748;26.217969796323494
1620545005.764153;1757920165198853514774348;2574922784066813280232;67148035182918076777800;4526508685941024218493864017832568665169088736;26.21811767369146
1620577166.9111867;1762297309299278235566942;2571599477701265474283;67187543885732198736033;4531912758507669054611127310994363066820760020;26.267799159001008
1620595270.5052447;1764024461242754546534361;2570606039504360880507;67207401939464589136802;4534611933904051212824216886170226819290601027;26.28572175537266
1620627399.0289135;1739931989926232947284650;2576309721845911795937;66819504122824578857928;4482503082232396100410451824352345948239458570;26.077839435100852
1620629180.4742644;1759125409170485630534093;2576309721845911795936;67186969159797191319188;4532051893592089610383854561548428968506846048;26.22088391429457
1620635665.6997063;1735184431417890629499651;2586252120031222314103;66856003780826137680526;4487555775063224801876931475738475484832963098;25.992739399065055
1620637379.6829872;1731767670545382942329728;2576333274607744827892;66661714725591503990078;4461605176114635378064260927831449318461380495;26.017092583941203
1620638688.5090392;1731450260849208639254271;2572883924167674425599;66610949491379436445367;4454820541634855424000358980780072293632483329;26.0321037008756
1620649417.6639307;1724292390286257186419502;2565663729203759370383;66379322885721031094118;4423945818019191726277895039140505901891666138;26.01499953514784
1620655561.7339766;1702099876932707020241318;2565348579337469792821;65945777487132639495974;4366425691899735983996566399198681480692532424;25.849497730838934
1620659459.8962731;1675966397632295567365156;2545627203282761431515;65185403098686719558385;4266385653600585045386605749162428627291291340;25.749814299597315
1620663305.057313;1666941128523602228262165;2561011525156286593497;65204989213621875857462;4269019811833128354794050102280284963884867810;25.60390179007936
1620682580.003988;1651863163729286443635860;2602778732800348592707;65434643043334989333877;4299425865989422901032490933826620515330328292;25.284251055918407
1620713846.0370474;1628647428186631978760160;2586906887137485356992;64774069672623515232623;4213135870261807571354867950270002501108780360;25.18344676069047
1620715050.771153;1627172597317418069763255;2584487556769338973347;64714508996758936429711;4205407330482913278831226277627229025044964485;25.183797422550324
1620718366.1214752;1615500187475648387437432;2586038032492514657212;64499657720676341582365;4177637898264936564944423103150071961102734642;25.086741274123675
1620742234.1964462;1553282324258150467597887;2516472046255498187426;62385265630147511545063;3908790905420812002135356359270234139189272161;24.938561703463684
1620747722.4636977;1555305759781240407947273;2519654777244500960550;62464624029080009306560;3918789941089664400998804369747527525436556950;24.93932267699633
1620755030.9604099;1567097686089147322382947;2510758833199936023880;62589877479632991101039;3934599579942044110629186454171683513333091327;25.077672430867185
1620756127.63985;1569997708777049542335684;2509775955337530615092;62635452286148991560256;3940342143726799304180702037354450906515752164;25.105709743236364
1620761312.445657;1576905200420769716148299;2500863472337626922069;62661232678457933065029;3943624615071547662451753546997124997319910631;25.205473885228646
1620801178.3034153;1585570092425844979830331;2517587871851391644986;63041827815571821734841;3991811568210569040748773922409212944516997350;25.19101579579243
1620801874.0510364;1585570092425844979830331;2517587871851391644986;63041827815571821734841;3991811568210569040748773922409212944516997350;25.19101579579243
1620802916.7701075;1585570261106686829459105;2517587871851391644986;63041827815571821734841;3991811568210569040748773922409212944516997350;25.191018471489624
1620817034.7058508;1581283271335444767812289;2526862234245398059708;63072090701946019078572;3995681957784513793271543596733618082500550468;25.111108827106367
1620822326.506988;1584160745769061810636231;2527130904075148215428;63132759631710300328829;4003380993792365931584398568358134637670317160;25.132560115052787
1620835815.8446202;1559895377176469375251676;2560326746476434510206;63055754717593983069944;3993841855889860493304451362152687073040605256;24.778954925219303
1620839461.2255213;1556447987139837367478336;2563549443016676251951;63025550214532139660230;3990030882267176420191237583685837175178278908;24.736182885768514
1620854049.5940325;1535093070756479620229157;2598048403817565411983;63001330673314792141219;3987074103258367740976839389106101693964527750;24.407280016572898
1620855853.095058;1534911364772785524521668;2598356737018910669069;63001330673314792141219;3987074103258367740976839389106101693964527750;24.404400749602594
1620880285.5413852;1534263542182809948106203;2590711469673586722396;62896501857181362574895;3974829595381970537620516051518235384132449397;24.43465388810029
1621029818.8820684;1509515385506402459355997;2526001882968351016631;61590210499292992743882;3813038460491474955342656829987405201081145180;24.55002792053662
1621144145.699044;1502256409308975014046573;2551208033578221141485;61746259342211060175838;3832567432014150253424524274813306260654993492;24.37083044986718
1621169725.4455805;1508382393480078718477228;2551253230260603720148;61872214643908331857355;3848260737099724812639439755281578426576611177;24.42022894131363
1621257053.1597927;1393236093877277233564673;2361901958238738183328;57210819889422050530986;3290686345749491223861379792573238234134644510;24.393952027482722
1621355841.5779724;1353337679592359638671505;2274859334812530569179;55330812269878052440971;3078650237455613726846280782384647402233837360;24.5001380481299
1621375358.7982533;1343527319963964842064946;2283454438218672246975;55233278147295580950892;3067883354045819367374946066346516062828604700;24.365940598586022
1621407361.3812273;1323106707981046723566914;2296206344651167566689;54964041432431931648918;3038114467061534209045821669607827291883941690;24.114000349756566
1621552319.91542;692411533256854731795921;1179072763551197965544;28467018833653280301757;816401760995309295901760144929067633269673139;24.364708158356702
1621703925.498907;464689882614662130356063;803030289144941376788;19233516401979083705863;373159488757938761193576017493020970081732154;24.202174120168113
1621725628.6875978;459070669141902752028255;789979247805341752489;18960749142281032212966;362655584255089355618287308336982787713029120;24.25329531754912
1621785988.8458343;405019255681050571573775;697201307596636501946;16727554474614584701442;282379511598379068827746589198230243976368754;24.254379658685597
1621854862.820747;392008219777454690179155;675085998711564816945;16190159040505549663941;264635931412776853671845466750332643712765802;24.254443998587455
1621864480.6409073;377404463543475333067040;644416401927720814431;15520230978175955895902;243193148541394664042316213357729687905475468;24.358457066586386
1621970570.7174544;364954755809614839503019;603632167423984936293;14769499012893813997657;220298430261048963896331481375727930496168567;24.7508996519046
1622364166.8486195;245884674537534963874565;389355866924179282624;9730181956619768122189;95736640617931597486994752823203237220058560;25.31032117409795
1622743851.7048469;107470402514733472956407;181822694706158040794;4393204766494300648234;19537516620202201436173404938485138004162325;24.50425849267759
1623019710.5756555;102672739988699768215473;172101083601744609721;4176215510917248064526;17669340157444363672049131590747968540454264;24.62632515095301
1623585359.553815;94755210562778760161405;156078663766885295361;3819085412085501685946;14788749899668704870569448398418987741146136;24.851837281826356
1623612151.0832472;92324035157715439016482;152065881998130797124;3720589698039541691350;14036105129180235784058809346145506117503326;24.855226871278283
1623881843.636376;88846505963548058052147;143986705576057567332;3551171042116637659492;12791657806137517677502401391246563155282300;25.059478018294012
1624137786.68921;88149638357649174558349;141627028154256857647;3506647761385757218186;12484135906708459644087821235336886628618969;25.178253247458333
1624174275.5402124;88199430740388584767203;141547273362269823149;3506647761385757218186;12484135906708459644087821235336886628618969;25.192429928816193
1624738860.0407279;90112467042296559311008;133555629716168453754;3441180277883749313265;12024227981830632784456420948628725296435445;26.225310906266166
1625161078.8091054;68033302141854354865413;100993094134346714489;2596648117013891478352;6870838333408724086849479471240320245558575;26.239325532618633
1627230484.9687045;41692522741527650189864;63355235024418926778;1608049537674072428565;2640966237739596191954370839729482780029625;25.966785847250037
1630823657.8990746;34747150558977782640418;47354233870192270799;1264946466688074320153;1641883380649035804925572276061677840421250;27.50670143689806
1632041450.5387433;34143743874619294534274;45043222471259165037;1221524591266407093320;1537679957426163924895333492698214463566872;27.988619583700373
1642234678.23723;16146261985687856607274;15174338683478149308;483437270640440648472;244989737847619083452791961036277707463168;33.43026552950962
1644955035.2442322;15159474047928521088641;16221707554841352052;483437270640440648472;244989737847619083452791961036277707463168;31.391240760934995
