Time;Reserve 1;Reserve 2;LP;kLast;Sum reserves/LP
1619722805.0289006;217837952158612745296;11529316206361439811477740;49224167710805173754949;2511522632182881915180229002922233031993711040;234.22506830486756
1619723116.223783;217826857672880260500;11529280289357307572700713;49222828269087693754561;2511386687015788242770923805024223849812138187;234.23071208314929
1619729447.0663068;252688211318893496034;13355988613325259525543145;57059160175405232313899;3374900873096668492513793921424408631753386930;234.07707474975507
1619732999.205176;276462613487268094536;14665088556711579518754775;62539330393842900681469;4054348709410711718342777328957558089701409400;234.49827375780308
1619765388.5385423;443938203283843212699;24085946164977931795753117;101553035827129318988125;10692671664871676916425696231971818013523232783;237.18040437690857
1619775777.7033346;459938089532829605369;25080646116655471592405506;105478196547186291194599;11535511828767316460715504929390723468696234600;237.78474486454482
1619780672.2531757;461326825253495432037;24990412570147520606195761;105446163815909541603146;11528705215960780614487326609351337465133498760;237.00126199567055
1619785474.8833792;459654818850412578896;25105112922591667855297533;105495601776014131960253;11539685727499155069092701805813225254910901496;237.9774337011139
1619794438.7582908;446504813859680841388;25049716008540259010732440;103858735203798384737421;11184818783631135687310995975251632541346226720;241.19456552401738
1619802908.815021;480196019426254234017;27295603858997079329249278;112425619009975181641427;13107229234995937885614583749264754783183643712;242.7923839369264
1619853892.7483315;646530735855212630494;37513336926258428854053793;152907857675746339776620;24253525181096872170651846522295464455568051666;245.33718559150677
1619873279.7844298;685178349946177511431;39726844096071425076202983;161981328718000584528862;27219973486315262903618134743046574993558798673;245.25992957857832
1619878944.5922117;696364569404395298660;40063883665519582087615415;163988407591470173968793;27899045849095140244228197086349018241516838696;244.31348909673136
1619881056.5541997;696941370096467966193;40055824073690313269203754;164039682433535769404724;27916559633719975907945022374013260395538546115;244.18799415373275
1619885811.054807;698024547319410027676;40121693271078505251256926;164299707944601471820329;28005813477118535497764953765446152427782481776;244.20245049464287
1619891760.91352;716043584877332540178;41265674588909004017405941;168755520752216644464778;29548021565023848995740030776819305143718397498;244.53357406354266
1619893440.2724266;719407897819829751540;41340027357482854879813403;169302492452977018505982;29740342177060992199784719680570789743051890620;244.1827415911368
1619895759.3915172;718590561934695520922;41403869867835906846966673;169336571214631679526744;29752340857747751534425056793140355446838098408;244.51061079958987
1619898548.8272223;725735235799478220340;42026656051951380585625235;171449334057918916407556;30500213160156896530175649219775285897637986803;245.1300380845429
1619904404.4668927;725459404603498923081;41921085156015090067670123;171199850487116906786825;30412042709295605133402920927103505075794804207;244.87060295986873
1619933503.3235617;783147147519807152417;44572164502414595803728775;183402110381394269788972;34906488849482490506063653324146040704240122920;243.03399539334822
1619944425.1949878;791633203744957841770;44485624161592675490263146;184210834633715582772605;35215859155009219896943332157386680577032518980;241.4972815429294
1619944442.6372118;791633203744957841770;44485624161592675490263146;184210834633715582772605;35215859155009219896943332157386680577032518980;241.4972815429294
1619949169.2012887;790702860330420096839;44507900114813303403970885;184148027421971850994975;35192497292174885354738992309366760442995228832;241.70061140911807
1619957527.7598472;787425280362376709354;44918200188029459243616074;184609564180190029966195;35369716994529473146047407181813270557666510783;243.3188541058804
1619962614.9216418;790816660580863410475;44869699510437268392351244;184905143245410074013796;35483705928110802414183809903849103993948880900;242.66761616005874
1619973178.4660094;792239959024053629352;44847346225659949833329395;185022463352922928126959;35529813451644811508351288679239672271578473790;242.3929378784291
1619978065.4636652;790681771538694560277;44889051860598785041710938;184925268316468824117190;35492897563730437395792611642330066642592653156;242.74585593975632
1619991566.2670577;789801718025468123019;44927527539558535786368547;184898643494029584219941;35483767505703104496213503514116153827667095515;242.98889646925562
1620015934.1514475;735709253240016203866;42762350720705348143930011;174092630556258940065752;31460432797169526020042693365512139045363529268;245.6340988893236
1620047722.659872;740119706188104721326;43325247062937668030889034;175741969207290325343700;32065868664173657516927915535942332415952621602;246.53181808575386
1620049523.3587017;743731408774290373136;43382262612841546394976734;176285390849845585577092;32264735221088991768845142762692777974933595846;246.09530112000385
1620050320.13457;749315895418482174397;43351543200768561368739674;176881741663789274784015;32483977745166172363715358322244934645771831599;245.09195866618344
1620059494.6156716;774192346804245743706;44515641754780008584588558;182187168628752070688082;34463669159630206969625670047310557238728115948;244.34440845743185
1620062280.7373135;773512246009576055229;44689404572316047955558157;182461547071448824238234;34567799260299366301135078070180388001441436571;244.92929497666788
1620066572.2732384;791174244042177534828;45835128206317563311396190;186882721961732927855130;36263525570830621547346686481872342917153990065;245.26568801768204
1620070155.1653683;793741797274019382611;45690400812873839230090922;186888995227278625606048;36266330308328785584430140266861646665535625010;244.48306599917956
1620078680.9451654;799308217506636087839;45473367107246495014289129;187094496673024239865521;36347210299175117844599320569958096632165969624;243.05453780897116
1620105378.8570426;808221138970473348111;45351599283991449623584854;187868748501798884007506;36654053026684435897533262641791689785361386750;241.40474595590422
1620112536.5524986;827168804955178800772;46434708049581082474299985;192311062191586296034647;38409273784779429499094654042823260323731017382;241.46055192667754
1620121235.5096881;829680270812947462502;46613288599784112486919858;192969083849902430062636;38674063140332816629966270162910213176719427156;241.56262417824863
1620142404.684326;841280239596171842786;45646098728763009329813284;192272265849213707881691;38399948606074004435093631780025235475547398187;237.4078227423629
1620145929.0275068;867715940439859130225;46800397757980821809735689;197719247956961724312963;40609385888121687952606604198978096976116063895;236.70566198040905
1620164962.2413008;941622441228724307094;51306698158878105265574998;215641617611555585639877;48311538371748096287296083036606352269040435812;237.93013774243693
1620191379.1027656;1005913609399952128869;54911846745019583465695206;230555824828100896687005;55236566608067417103112732849885821420464564448;238.17595022624658
1620214709.2433639;1186772282966508392455;65657249271921753496227416;273818524430168609034543;77920150855781310346098956586693296239784841588;239.7881450162787
1620219677.9973595;1196478465599694714172;66486143071211464284118511;276663521784901230706003;79549100912611315344683418010548505008891075912;240.31841682897849
1620229642.108465;1217533646560420362006;69792267031576651019367561;285931003018479205813475;84974132682101310290410496236272510515776773830;244.09204957992117
1620321703.3654666;1284168832755731254608;73140605067363545424903061;300564240985089744090888;93924726192131256622794944766313070187889865430;243.3486065956352
1620324340.5344503;1296659444045323471528;73817950691209085784064469;303416154248260711656703;95716669610945596393955862742897137515283870660;243.2937281587613
1620362592.80939;1312081738385515264501;72764547441050364411628737;303002904145877694255650;95473033899288658435775274595116395784767565237;240.1490498182036
1620373854.576851;1306664690926586714048;73145743441183999534663552;303163708287463642278551;95576771433699794176891274418259293854591257260;241.27904530220343
1620411359.7669613;1274230098505056275253;73729290383654980619329336;300547655055619378463484;93948080948272584330971736369415305535073722008;245.32071161929014
1620505364.9149628;1220983971045726672703;72084689650529447184682812;290854918929653031205720;88013980219014904427189773799382082379200961975;247.84146989769627
1620542541.770639;1159367919927706911696;67912798733783646989718689;275067683341263726224074;78735920204455754584651217271197983036003886544;246.89908053446567
1620544991.3153064;1162118565706214031312;67756639386581897208679196;275076353733536774654592;78741129328209870297709869196863848740692967924;246.3236137366565
1620577154.2722461;1188229982966134129793;68516785149350164135495630;279683458129939374512219;81413276569255210063902987299486679394817020836;244.98400383586525
1620595257.715019;1178043864811255347981;68189612067946352883203344;277810624389254416098435;80330182301327981448828150397980507629017074750;245.45781955504202
1620627386.3108017;1161767759526508173226;68651231958527706619088308;276803759378628115480626;79755857911354859736591641431530050945876686740;248.0182851576829
1620629167.4855328;1156901386229265709211;68280032249537584109320770;275475519027214723934040;78993263955467984306832719102947067127441916016;247.86663218584658
1620635652.8092794;1163865774962629047186;67934415283638708612862190;275601119874240721707762;79066521863820998906005016808549171332488453755;246.49964840641172
1620637360.7447004;1164000008985773799247;67944879457751493585233228;275638207735590105562555;79087836761569153322702998367982637107566619890;246.50444514186762
1620638669.5063782;1164279081167941803394;67929852281736301132627010;275640301626562215171230;79089122930986950630681553768496360006836296264;246.448056252857
1620649402.421873;1166722572349236335927;67796870322654891492643195;275651968077072559095751;79099051830093553679120078630302329680744054004;245.95520764165502
1620655546.454849;1171968312148033435743;67508385398830497555909267;275679101603364919163823;79117258390381723486628279751729487555460893520;244.88456678255017
1620659447.4189417;1176289775549387024258;67261169012159674970225335;275679137963763058039229;79118601003723503721984439654219083197534728380;243.9877960978556
1620663292.6475813;969114130797252330917;56466427563161466765634905;229266011052082476424242;54720777687698604108747524554979736127139217714;246.29641532195777
1620682559.786542;991619350756526005045;55126016852394358720800382;229126821661177257338395;54661977131961413138245399719517818739837607990;240.59605100822517
1620713832.8423464;996957553031601334773;54850085452224466819455666;229146230868117767637099;54682557502545045213841934922080064627859648206;239.37152359859826
1620715037.4270384;995262060656436063272;54943826947545034719851534;229146230868117767637099;54682557502545045213841934922080064627859648206;239.78060647756627
1620718353.409455;990830227854870440657;55193237681323950350941346;229152460542978662054256;54687100599464532434466963659208738131123445920;240.8624737468174
1620742212.5825222;1043203410653609747821;58075415903827283205242778;241174271530402457263415;60584246449828637510561351826331615871005842500;240.8070261338669
1620747704.2512228;1040148605361524256404;58247579768780763026107073;241174496671623034833851;60584515905351901523174091869193610206259126605;241.52064468365384
1620755005.8046546;1037804418929070680032;58419608710203821531896715;241256211229856464908080;60627856566675668512070813396425201805817170808;242.15188581803008
1620756097.0869112;1036874380871956460844;58477296890512247934520805;241266798665402399374724;60633599440509025731718265744264303417648882576;242.38036102925628
1620761298.1108854;1034473773621873981624;58598229540589053880185488;241233871079381118280849;60618290094477216998752050703615669241408332726;242.914743904598
1620801166.2615008;1035869137229714189272;59210482897529586007020593;242641089631413625808042;61334015175470320922922975154079793300248553312;244.02923205056763
1620801861.2430665;1035814539424683779729;59213313340973708791005377;242640664636624619733052;61334002241702572564640875311380229833558055349;244.04132441770113
1620802904.6306825;1036617955150668823978;59167590180736466548111645;242640664636624619733052;61334002241702572564640875311380229833558055349;243.85288792091694
1620817022.3381724;1026689501084549184023;57621905823510702145756941;238297031306774982495780;59158896413382819508831018000832580710774755924;241.81137380108655
1620822314.761439;1023798154212294000851;57777329357438575635006513;238281580467350777590908;59152320753196051819773693247615410730799179812;242.47930974047551
1620835799.5025454;1031521825218552546024;57197569616410284414653160;237962454426280486573789;59000198933444198137632278134903646915117597500;240.36817604751732
1620839449.483163;1034914902154023262013;57013201117493751475620775;237965508044417328541271;59002796543656691534170378588285584307518887820;239.59033601522597
1620854037.7492428;1040202713098634844265;56735211505056834749673128;237979518327197367824589;59015676486958566081543683665142707046828898200;238.40812901286498
1620855841.2508428;1042328585458440125881;56870641663298155055937784;238505741258503860086868;59277892853530151056964995572728846085742418859;238.44995802530127
1620880272.0624375;1084058645843838376181;55158029686283053430268942;239448081083965091572499;59794525453019008718053361735035287286570373050;230.35938937254105
1621029788.8438637;1135204947370808523129;56518039282432783101513777;247872243108380639433316;64159395498497026460853866276642291273727540095;228.01735998599685
1621144129.4029052;979414754538551558351;47230676430078828504872462;210401684013275242274572;46258309232966399842528445691597520266940804875;224.4832595629477
1621169712.1483097;972316035435963729935;47368089801753044336183124;209927768459479724778421;46056715118966473161990403284310200298637244190;225.64457510980336
1621257038.4801354;870855263758619456223;39089308273750315003553025;180325835489034996196433;34040761674791478273224219929409980186503538875;216.7752558750297
1621355818.0046635;914040116834405716499;39543307394316949731407587;185687514729338575942597;36143150852313327996988417442015535867527556200;212.96112176456313
1621375341.5323794;918561297602384164751;39513670350036825347278150;186023214227264854081633;36294861077434456476348665008973529882778039840;212.41751506916438
1621407347.1790273;878706841502435338396;34498050424105267179149774;169911864163063054997288;30313436513665762587100010319535430004440985130;203.0401426108681
1621552300.4239666;482705229428556202791;19814578835700210454419836;94875926880278305962492;9564373647445700107130641289874987904784930040;208.85236321257548
1621703910.0942183;348335204530285555038;13351899446600055553729937;65967577868334846794752;4650936624599236866571726067113462073201772606;202.40621549656456
1621725615.4684877;357108557272109435119;13470286698980544278471378;67079280912117958571373;4810341178118623040836756178358058092966171975;200.816759279009
1621785965.9101236;390307282161713259772;12933618085973674232273440;68614547081246843849354;5047946267228858507469317598945691513636181583;188.50242322434352
1621854849.670788;369230329963840076655;13691240066738298194568206;68575791937215884021836;5055050846415550671286934561465941268362103000;199.6565976168897
1621864465.5784135;392147018784188055799;14762387172719985212739210;73367116410931333407179;5788918840702337070888320035581882457571019172;201.2179303470511
1621970557.9538722;429033979317140844676;16174837411914709205431699;80238400429380239502518;6939483328324424970644204010873008373186949680;201.59009102044936
